003 里->裏
  SRC 阿萊格里亞德皮奧休息時警戒鬆懈，政府軍突然開火，部隊來不及佔領制高點，幾乎全軍覆沒、建制瓦解。
  HANT 阿萊格裏亞德皮奧休息時警戒鬆懈，政府軍突然開火，部隊來不及佔領制高點，幾乎全軍覆沒、建制瓦解。
007 游->遊
  SRC 游擊隊軍醫指揮官起初只管傷患，後來因戰鬥單位缺人而接管隊伍，前線職務須按缺口與實戰能力調整。
  HANT 遊擊隊軍醫指揮官起初只管傷患，後來因戰鬥單位缺人而接管隊伍，前線職務須按缺口與實戰能力調整。
026 灶->竈
  SRC 高地四周若沒有人守望通往營地的獸徑，再隱蔽的鍋灶煙也會把位置出賣給巡邏隊。
  HANT 高地四周若沒有人守望通往營地的獸徑，再隱蔽的鍋竈煙也會把位置出賣給巡邏隊。
062 托->託
  SRC 攻打布埃錫托仍選孤立市鎮與薄弱守軍，速戰速決後散發傳單就走，不嘗試用少數人長期佔領街道。
  HANT 攻打布埃錫託仍選孤立市鎮與薄弱守軍，速戰速決後散發傳單就走，不嘗試用少數人長期佔領街道。
064 里->裏 | 托->託
  SRC 翁布里托伏擊利用自己經營過的地形，把敵軍引到熟悉的坡地再開火，主陣地與假陣地分開，打完沿預備小路撤。
  HANT 翁布裏託伏擊利用自己經營過的地形，把敵軍引到熟悉的坡地再開火，主陣地與假陣地分開，打完沿預備小路撤。
065 里->裏 | 托->託 | 台->臺
  SRC 在翁布里托一帶開始嘗試固定營地、修簡易工場與電台，讓傷患與彈藥有後方，而不是永遠背著全部家當走。
  HANT 在翁布裏託一帶開始嘗試固定營地、修簡易工場與電臺，讓傷患與彈藥有後方，而不是永遠背著全部家當走。
067 托->託
  SRC 帕托霍同志以年輕外來戰士的身份死在行軍與戰鬥的消耗裡，提醒體能極限與疾病對非本地隊員更殘酷。
  HANT 帕託霍同志以年輕外來戰士的身份死在行軍與戰鬥的消耗裡，提醒體能極限與疾病對非本地隊員更殘酷。
092 台->臺
  SRC 自由古巴人報在山區油印發行，用來對抗獨裁電台，內容要具體到哪場戰鬥、哪條法令，而不是只喊口號。
  HANT 自由古巴人報在山區油印發行，用來對抗獨裁電臺，內容要具體到哪場戰鬥、哪條法令，而不是只喊口號。
107 台->臺
  SRC 佔領聖克拉拉後立刻控制電台、電話與監獄，防止殘餘部隊重組，同時向居民說明不搶劫、不報復私仇。
  HANT 佔領聖克拉拉後立刻控制電臺、電話與監獄，防止殘餘部隊重組，同時向居民說明不搶劫、不報復私仇。
121 台->臺
  SRC 無線電能協調縱隊，但電台是轟炸目標，發報時間要短、位置要換，重要命令仍靠交通員複述備份。
  HANT 無線電能協調縱隊，但電臺是轟炸目標，發報時間要短、位置要換，重要命令仍靠交通員複述備份。
147 台->臺
  SRC 轉移指揮部時分批走不同小路，電台、傷患與首長不同行，避免一次空襲或埋伏打掉全部中樞。
  HANT 轉移指揮部時分批走不同小路，電臺、傷患與首長不同行，避免一次空襲或埋伏打掉全部中樞。
149 吃->喫
  SRC 進入大城市前先規定戰利品登記與民居保護，防止勝利當晚的無紀律把政治勝利吃掉。
  HANT 進入大城市前先規定戰利品登記與民居保護，防止勝利當晚的無紀律把政治勝利喫掉。
