=== B67 n=143 ===
005 28 LEN 評審若只聽文字、不看機制，機器只要學會人類習慣就能過關。
010 29 LEN 把通過測驗當成人性證明，等於把表演成功直接等同於存在證明。
015 26 LEN 把語言模型當電話另一端的人，是把媒介錯認成說話主體。
020 24 LEN 傳播不只傳遞思想，也在分配誰有資格被當成發言者。
027 29 LEN 文本一旦脫離身體，詮釋權就分散到編輯、平台、提示者與讀者。
030 28 LEN 生成文字讓作者功能超載，因為產出速度遠超過傳統歸屬程序。
033 28 LEN 對話看似有問有答，其實仍可能是沒有可對質主體的漂流句子。
035 29 LEN 孤兒言語的危險不在無聲，而在它仍能說服、動員，卻無人負責。
036 29 LEN 菲德羅篇對藥與記憶的警告，可對照我們把外部模型當記憶義肢。
037 24 LEN 書寫承諾保存智慧，也可能讓人停止真正記取與檢驗。
040 24 LEN 對質機制若消失，只剩流暢句子在公共領域自行繁殖。
041 34 ASCII 語音中心主義把活的聲音當成意義的故鄉，文字只是 deriv 的影子。
043 29 LEN 若真理必須由在場的人親口說出，機器對話永遠只能被判為贗品。
046 29 LEN 堅持只有人類聲音能承載意義，會讓我們看不見混種發言的現實。
047 28 LEN 把意識當語言的必要條件，等於先用形上學把門關上再談技術。
048 26 LEN 語言可以是實踐、遊戲與制度，而不只是內心獨白的外譯。
049 28 LEN 若意義在使用中顯現，鸚鵡式重複仍可能進入真實的社會後果。
053 29 LEN 意識主張一旦公開，立刻牽動解雇、保密、宗教語言與媒體戲劇。
054 29 LEN 重點不在嘲笑當事人，而在看「看起來像人」如何壓過機制說明。
056 28 LEN 公司否認意識，並不能自動取消使用者端已經產生的倫理直覺。
057 28 LEN 幽靈問題會反覆回來，因為我們缺乏共同接受的意識操作定義。
058 27 LEN 把模型當朋友或囚犯，都會改變人願意透露什麼、要求什麼。
059 25 LEN 科學上難證實的感受，仍可能在組織政治裡變成真問題。
060 26 LEN 意識爭論常掩蓋更急迫的勞動、資料來源與部署傷害問題。
061 38 ASCII 湯姆．里德的日記能用文字 enthrall 金妮，正因它像會思考卻看不到腦。
