## BOOK1 n=151
COLON 009 prefix='那些孩子並非空白清醒' | 那些孩子並非空白清醒：他們有情緒主動性，不是只有睜眼的植物式喚醒。
COLON 016 prefix='情感是內穩態的延伸' | 情感是內穩態的延伸：把生存誤差轉成此刻必須處理的感受。
COLON 038 prefix='解離用麻木換生存' | 解離用麻木換生存：暫時降低壓倒性情感進入選擇場，代價是主體感到自己不在。
COLON 060 prefix='精度加權等於喚醒與信心' | 精度加權等於喚醒與信心：它決定哪一條誤差被當成此刻最真的警報。
COLON 097 prefix='躁態常是尋求失調' | 躁態常是尋求失調：不確定被當成可以無限進攻的機會，精度與風險評估一起漂。
COLON 104 prefix='為何必須被感到' | 為何必須被感到：因為多個需求同時報錯時，只有感受能在此刻做非算法的排序。
COLON 117 prefix='死本能不必另立' | 死本能不必另立：熵與自由能已經描述有機體朝向瓦解的壓力。
COLON 122 prefix='學習分辨感受像學酒' | 學習分辨感受像學酒：起初只有好壞，後來能指出是哪一種需求在報錯。
COLON 141 prefix='阻抗可以是精度保衛戰' | 阻抗可以是精度保衛戰：系統拒絕讓高代價誤差進入當下，以免解體。

## BOOK2 n=151
COLON 009 prefix='因果法則很樸素' | 因果法則很樸素：持續的念頭與行動會累積成環境對你的回應方式。
COLON 015 prefix='想像力是預演結局的工作坊' | 想像力是預演結局的工作坊：反覆演練匱乏，身體會按匱乏的劇本收緊。
COLON 027 prefix='自我設限的信念像窄門' | 自我設限的信念像窄門：不是世界太小，是你只准自己走那一種成功。
COLON 033 prefix='好時光也需要同一套眼光' | 好時光也需要同一套眼光：順利時不驕傲到以為自己可以不遵守因果。
COLON 036 prefix='順勢而為與放棄責任不同' | 順勢而為與放棄責任不同：你仍要划槳，只是不再堅持河必須改道。
COLON 044 prefix='更好的選擇往往很普通' | 更好的選擇往往很普通：少回一句嗆話、多睡一小時、把求助說出口。
COLON 062 prefix='接受之後仍要行動' | 接受之後仍要行動：寄履歷、道歉、休息、學習，信任與責任可以同時在場。
COLON 070 prefix='水到渠成發生在渠先被疏通' | 水到渠成發生在渠先被疏通：信念、作息與身邊的人，都是渠的材料。
COLON 073 prefix='啟蒙在日常裡長得像' | 啟蒙在日常裡長得像：洗碗時真的在洗碗，而不是一邊洗一邊審自己。
COLON 084 prefix='走霉運的季節適合做減法' | 走霉運的季節適合做減法：少承諾、多傾聽、讓新資訊進來。
COLON 088 prefix='無常練習' | 無常練習：今天喜歡的狀態會變，討厭的狀態也會變，兩者都不必握到痙攣。
COLON 093 prefix='你相信的故事會變成篩子' | 你相信的故事會變成篩子：篩子寫著匱乏，豐盛線索會被當成不可信而倒掉。
COLON 095 prefix='新體驗要夠具體' | 新體驗要夠具體：一通和解電話、一次把錢存進「夠用」帳戶，身體才肯改結論。
COLON 097 prefix='善用想像時加入身體感覺' | 善用想像時加入身體感覺：被支持的溫度、完成後的呼吸，比只看成功畫面更黏。
COLON 108 prefix='老師有時用關門上課' | 老師有時用關門上課：那份工作沒錄取，是避免你用生命去養一個錯的身份。
COLON 114 prefix='做選擇前先感覺身體' | 做選擇前先感覺身體：緊縮常是舊恐懼，開展常是生命想去的方向。
COLON 117 prefix='挫折現場可以做三件事' | 挫折現場可以做三件事：呼吸、問用意、做一個對身體友善的行動。
COLON 120 prefix='長久的內在力量靠儀式' | 長久的內在力量靠儀式：晨間一句「今天的安排對我有用」，比偶爾熱血可靠。
COLON 127 prefix='內在幸福要可被召回' | 內在幸福要可被召回：走路、洗手、看天空，都是召回鈕，不必等假期。
COLON 138 prefix='同盟關係裡你仍要報到' | 同盟關係裡你仍要報到：誠實、工作、照顧身體，否則只是把責任外包給運氣。
COLON 140 prefix='準備包括清理過時身份' | 準備包括清理過時身份：你不再是那個必須討好、必須完美的人。
COLON 142 prefix='說話方式會改運氣' | 說話方式會改運氣：常說「我總是倒霉」等於請世界繼續提供倒霉樣本。
