=== 07_other-20260717-19 150
LEN 031 34 熱浪把思考蒸成一片幻覺，南方夏天讓憤怒比較容易被當成清晰可靠的判斷。
LEN 036 32 結晶狀的毒品改寫了小鎮生態，牛仔神話被實驗室與偏僻棚屋徹底取代。
LEN 038 32 樹蔭下的午後本該拿來遊戲，卻變成全鎮最不敢久留的視覺死角與禁忌。
LEN 039 34 沼澤與毒蛇把自然寫成帶牙齒的道德：靠近真相也會被咬，絕不只被壞人打。
LEN 049 34 棉花經濟退潮後的體面靠名字撐著，姓氏比現金更被珍惜，也更能拿來傷人。
LEN 057 34 成長小說在此不是找到天賦，而是發現自己也能成為傷害工具的那一個早晨。
LEN 062 32 聚餐的禮貌薄得像冰，底下是誰先提起羅賓誰就破壞氣氛的恐怖平衡術。
LEN 063 34 離家的父親把地理距離當成止痛藥，留下的人必須在原地反覆踩到同一根刺。
LEN 070 33 邊界遊戲是主題引擎：女孩闖進男人的犯罪經濟，紙上地圖在此立刻失效。
LEN 097 34 蛇影與毒物讓接近真相變成身體事件，知識不再免費，皮膚往往得先繳學費。
LEN 116 34 童聲在屋裡變得更小，因為任何太響的快樂都像對不起仍掛在樹上的那個人。
DUP2 舊照 [44, 115]
=== 07_other-20260717-20 150
LEN 004 33 玻璃窗上哈氣寫字，水霧變成拜師帖，平凡教室器材被點成江湖的入場券。
LEN 041 34 轉角取消安全距離，現代江湖的決鬥場是別人回家必經的路，無辜者會路過。
LEN 083 34 世界觀靠相信撐著，你一開始懷疑師父，招式仍在原處，倫理卻會先漏出風。
LEN 085 34 恐怖來自可逆性極低：學會的功退不回去，看過的毆打也無法再假裝沒看過。
LEN 095 34 仇人面孔一變具體，打人就變難；用一張臉擋住讀者，不讓暴力只剩下煙火。
LEN 096 34 恩人與加害者可能是同一老人，這份疊影讓拜師的感動從第一頁就帶著毒性。
LEN 111 34 謊言對家人是保護協議，對自己卻是腐蝕；習武的第一課，常常就是學會瞞。
