==== HL29 151
015 COLON 簡報代理人用固定模板：背景、目標、限制、成功樣貌、禁止事項、回報頻率。
018 LEN27 過度授權的警訊是你已經看不懂產出從哪來，卻仍按發送鍵。
021 COLON 框架比靈感重要：先規定輸出格式、檔名、存放位置，代理人才能連續做完。
034 COLON 日報用三欄：做完、卡住、需要你拍板，讓你早上十分鐘就能當指揮官。
042 COLON 權限分層：讀取、草稿、發送、付款，每一層升級都要你點頭一次。
043 LEN27 發送權比寫作權危險十倍，郵件與社群貼文預設停在草稿匣。
052 LEN27 多名虛擬員工並行時，用共用看板避免兩人改同一份價目表。
053 COLON 衝突升級規則寫明：意見不合先並列兩案，由你選，禁止它們互相覆寫。
059 COLON 評估新工具只看三件事：能否讀你的知識庫、能否受權限約束、失敗時如何告警。
060 LEN27 龍蝦生態裡的外掛要當員工技能，而不是當收藏櫃裡的徽章。
065 LEN21 忙碌不是進度，已關閉的驗收項數量才是進度。
076 LEN27 客戶罵人時助理只准安撫與蒐集事實，賠償數字必須你核定。
079 COLON 個資最小化：能哈希就哈希，能刪就刪，對話紀錄不當備份盤。
094 LEN27 參考意見要標成參考，以免你誤把旁支當成已批准的主方案。
095 LEN25 品質抽查比例可隨信任上升而下降，但永遠不要降到零。
104 LEN27 審計軌跡至少保留誰在何時批准發送，這是治理而不是多疑。
110 LEN27 匯率與稅務試算可輔助，申報數字提交鍵在你，不在機器人。
112 COLON 累的時候改下最小指令：只准整理、不准發送，讓休息與失控分開。
114 LEN25 稱讚很廉價，交付物過關才昂貴，訓練自己被後者獎勵。
116 LEN24 迷戀新模型名稱的人，常常還沒把舊流程的驗收做完。
119 LEN27 升級通道堵塞時工作會偷偷自行發明解法，那是事故的溫床。
120 LEN25 發明解法若成功，事後要補寫進手冊，把幸運變成制度。
125 LEN25 現形之後不必憤怒，把能用的步驟留下，叫賣段落丟掉。
127 LEN27 路線選擇一旦是當老闆，就停止以會不會寫函式來評價自己。
128 LEN26 評價自己改用決策品質、核對密度與系統穩定度三個指標。
131 LEN25 系統穩定度看你出差三天回來後，待辦是收斂還是爆炸。
133 LEN22 好心必須被框架管住，否則勤快會變成組織噪音。
135 LEN27 作廢要廣播，只在你腦中刪除，值班機器人仍會引用舊折扣。
136 COLON 廣播格式固定三行：作廢什麼、替代什麼、何時生效，短到沒人會略過。
138 LEN25 雙軌結束日要進日曆，到點由你宣布，不讓軟體自己猜。
139 LEN15 猜是創造力，治理場合不歡迎猜。
141 LEN21 兩種腦要切換，混在同一則指令裡最容易出事。
==== HL30 134
023 LEN25 技能要寫失敗時怎麼停，比寫成功時的彩虹形容更重要。
030 LEN26 排程任務失敗要有人看得到，安靜失敗比大聲失敗更可怕。
031 LEN25 信箱連接後先做分類與草稿，寄出鍵繼續留在你手指上。
036 LEN24 移動中只處理低風險，高風險等坐下來看完整上下文。
039 LEN27 小工具先解決你每週會重複的痛苦，不要一開始就想做平台。
045 LEN24 關卡未過就開下一項功能，像還沒學會煞車就上高速。
060 LEN23 測過的技能才准進排程，未測進排程等於定時炸彈。
070 LEN21 數字好聽是事故，技能分工就是防止這種殷勤。
080 LEN27 偷跑的舊實驗會改你的檔，事後很難追溯是哪個排程下的手。
082 LEN26 成功兩個字沒有審計價值，審計要的是對象、動作、時間。
084 LEN23 場景寫不清，生成的工具會變成你也不想用的玩具。
086 LEN24 省不到分鐘就下線，不要因為做得很辛苦就繼續供養。
087 LEN27 下線也是工作術，功能收藏癖會拖慢真正能用的那三個技能。
097 LEN26 新常態要經過你宣布，模型無權因為你累了就改公司規定。
100 LEN27 演練通過再加大權限，跟訓練員工一樣，信任階梯一次一格。
104 LEN19 速度來自減少重複思考，不來自拆掉煞車。
107 LEN23 講錯話的修復成本通常高過你省下的那幾分鐘打字。
114 LEN27 一句人話呼叫成功，代表自動化真正回到非技術使用者手上。
117 LEN26 更新手冊時把失效連接器關掉，比急著追新功能更保護你。
119 LEN24 越權變容易的功能，預設不開，等你有明確場景再開。
120 LEN26 明確場景寫在專案說明裡，寫不出場景就表示你還不需要。
121 LEN20 不需要也是專業判斷，工具疊加不是成績單。
126 LEN19 神提示會過期，規矩與技能卡比較能搬家。
