FILE tools/_hl_redo_07_other-20260716-41.py count=150
035 LABEL=[精緻化是最被低估的階段] BODY=精緻化是最被低估的階段：把閃念做成可被別人使用的製品，往往比靈光更耗時。
043 LABEL=[失敗在選擇機制裡是資訊] BODY=失敗在選擇機制裡是資訊：哪些路徑不通，比成功樣板更能畫出領域的真實地形。
060 LABEL=[測量永遠落後定義] BODY=測量永遠落後定義：你測流暢，就會訓練流暢，學校因此愛上容易打分的創造力。
088 LABEL=[即興樂團示範聽與讓] BODY=即興樂團示範聽與讓：創造發生在空隙，誰佔滿所有拍子誰就殺死集體。
094 LABEL=[孤獨仍有位置] BODY=孤獨仍有位置：撤回是為了消化衝突後的材料，不是浪漫化離群。
097 LABEL=[遠距工具改變可供性] BODY=遠距工具改變可供性：螢幕分享便於並列草稿，卻削弱身體同步的即興節奏。
101 LABEL=[材料會反抗] BODY=材料會反抗：黏土乾裂、程式報錯、舞台燈光不聽話，都在共同寫劇本。
142 LABEL=[時間性很關鍵] BODY=時間性很關鍵：同一舉動在時機未到時是怪異，時機過了是陳腔。
FILE tools/_hl_redo_07_other-20260716-42.py count=148
088 LABEL=[老王賣瓜是自嘲也是方法] BODY=老王賣瓜是自嘲也是方法：歡迎來吃瓜，家庭書寫像八點檔，爛俗裡仍有真人。
096 LABEL=[出書前想好被發現時的說辭] BODY=出書前想好被發現時的說辭：這是小說啦，隱私防線用文類當擋箭牌。
110 LABEL=[找外星人的比喻停在船門口] BODY=找外星人的比喻停在船門口：想像成為具體時害怕反而來襲，推門比夢想困難。
