===01===
NEW | 花錢的藝術：打造富足人生的金錢心理學【博客來獨家附贈財富透析．互動金句透卡】
NEW | 花錢的藝術
NEW | 你不是不夠好，只是站錯了位置：找到對的定位，不再耗損、不必硬撐，活出真正自我成就的人生
NEW | 致富思維——不是你不夠努力，而是一直用錯方法在賺錢；生命不能重來，但思維可以重新彩排！
DUP | 馬斯克寶典：從顛覆矽谷到打造太空帝國，讀懂全球首富20年極限思維
NEW | 高薪賽道：選擇比努力重要！走對路徑的職場換軌與談薪心法
NEW | 在碎裂的世界共享富裕繁榮：給中產階級、全球貧困者，以及氣候危機的新經濟學
NEW | 我們可以好好Feedback嗎？職場回饋為何可怕？怎樣變成有益對話？
NEW | 工作的法則：太多人可以把工作做好，你要靠什麼脫穎而出？
NEW | 看見你心中的大象：為什麼無法發揮潛能？怎樣攀上巔峰？
NEW | 我在偏遠山區開麵包店，生意興隆：從移動銷售到人氣名店，一間偏僻小店，如何每年吸引三萬人朝聖，活出不迎合市場的經營哲學
NEW | 天道不是玄學，是複利的結果：從認知破界、處世進退到成功與財富，掌握看清趨勢、借勢成長的底層能力
NEW | 超級業務的心理學100：一流效率、雙倍好人緣到三級跳的業績獎金，低調掌握心理學全方位升級你的競爭力
NEW | 從地理看經濟！破譯全球局勢的56個關鍵問題
NEW | 進化的力量4：逆勢增長
NEW | 科技右派的崛起，會把世界帶往何處？：馬斯克、提爾、奧特曼和布特林，政治經濟觀如何重塑人類的未來
NEW | 新富裕階層：為什麼他們能夠白手起家，成為億萬富翁？
NEW | 看懂股市，不被行情牽著走：給普通人的圖解投資理財課
NEW | 時間不夠用？先減掉八成雜事：不加班也能升職的高效工作法
NEW | 暢銷的內幕：看懂行為經濟學，成交只在一瞬間
NEW | 不躺平，要幹嘛－算力時代的個人生存戰略
NEW | 打開無路之路：放棄600萬年薪，前麥肯錫、BCG顧問的職涯覺醒，重新定義屬於你的「好工作」，找到真正值得投入的人生
NEW | 從聽得懂到做得到的行動轉譯術：破解72種職場模糊說法，化為真正推進工作的行動
NEW | 佛畏系統：洞察事物背後的規則，在不確定時代做出對的選擇
NEW | 海期刀神教你用100張圖實戰均線三刀流
===02===
NEW | 40歲的人生提案：中年之路最常見的30個生命課題，心理學家給你的解答
NEW | 我也不知道自己為什麼情緒低落：51個練習，讓你成為不再內耗的高級大人
NEW | 50歲的人生提案：中年之路最常見的33個生命轉折，心理學家給你的指引
NEW | 第二次機會：一個退役綠扁帽的最後任務，在歸零人生中找回自我價值
NEW | 停止焦慮的有感練習：善用70項科學多重迷走神經訓練技巧，調校內耗心態、養成安心體質
NEW | 好女孩症候群【為什麼越善良越懂事，反而越委屈？】
NEW | 這沒什麼好說的：我的「男」言之隱誰在乎？
NEW | 憂鬱症，請多指教：新時代下與憂鬱共處的生活練習
NEW | 取捨法則：選擇與改變的神經科學
